entry_time,exit_time,qty,pnl,reason
2025-03-11 11:25:00-04:00,2025-03-11 11:30:00-04:00,-1,-31.0,stop
2025-03-11 12:25:00-04:00,2025-03-11 12:30:00-04:00,-1,-31.0,stop
2025-03-11 12:35:00-04:00,2025-03-11 12:40:00-04:00,-1,-31.0,stop
2025-03-11 12:45:00-04:00,2025-03-11 14:00:00-04:00,-1,-31.0,stop
2025-03-11 14:05:00-04:00,2025-03-11 14:10:00-04:00,-1,-31.0,stop
2025-03-12 11:00:00-04:00,2025-03-12 11:15:00-04:00,-1,-31.0,stop
2025-03-12 11:20:00-04:00,2025-03-12 11:25:00-04:00,-1,-31.0,stop
2025-03-12 11:30:00-04:00,2025-03-12 11:35:00-04:00,-1,-31.0,stop
2025-03-12 11:40:00-04:00,2025-03-12 11:45:00-04:00,-1,-31.0,stop
2025-03-13 10:00:00-04:00,2025-03-13 10:05:00-04:00,-1,-31.0,stop
2025-03-13 10:10:00-04:00,2025-03-13 10:15:00-04:00,-1,-31.0,stop
2025-03-13 10:20:00-04:00,2025-03-13 10:25:00-04:00,-1,-31.0,stop
2025-03-13 10:30:00-04:00,2025-03-13 14:25:00-04:00,-1,231.5,signal
2025-03-13 15:35:00-04:00,2025-03-13 15:55:00-04:00,-1,-31.0,stop
2025-03-14 13:05:00-04:00,2025-03-14 13:15:00-04:00,1,-31.0,stop
2025-03-14 13:20:00-04:00,2025-03-14 13:25:00-04:00,1,-31.0,stop
2025-03-14 13:30:00-04:00,2025-03-14 13:35:00-04:00,1,-31.0,stop
2025-03-14 13:40:00-04:00,2025-03-14 13:45:00-04:00,1,-31.0,stop
2025-03-14 13:50:00-04:00,2025-03-14 13:55:00-04:00,1,-9.125,signal
2025-03-14 14:45:00-04:00,2025-03-14 14:55:00-04:00,1,-31.0,stop
2025-03-14 15:00:00-04:00,2025-03-14 15:55:00-04:00,1,37.125,session_eod
2025-03-17 09:30:00-04:00,2025-03-17 11:00:00-04:00,1,24.625,signal
2025-03-17 12:25:00-04:00,2025-03-17 12:40:00-04:00,1,-0.0625,signal
2025-03-17 12:50:00-04:00,2025-03-17 15:50:00-04:00,1,189.625,signal
2025-03-18 14:00:00-04:00,2025-03-18 14:05:00-04:00,-1,6.5,signal
2025-03-18 14:25:00-04:00,2025-03-18 14:45:00-04:00,-1,-31.0,stop
2025-03-18 15:55:00-04:00,2025-03-18 15:55:00-04:00,-1,-9.4375,session_eod
2025-03-19 10:00:00-04:00,2025-03-19 10:40:00-04:00,1,-31.0,stop
2025-03-19 10:45:00-04:00,2025-03-19 10:50:00-04:00,1,-31.0,stop
2025-03-19 10:55:00-04:00,2025-03-19 11:15:00-04:00,1,29.0,signal
2025-03-19 11:40:00-04:00,2025-03-19 13:00:00-04:00,1,-12.25,signal
2025-03-19 14:25:00-04:00,2025-03-19 15:55:00-04:00,1,110.25,session_eod
2025-03-20 09:30:00-04:00,2025-03-20 09:35:00-04:00,1,34.625,signal
2025-03-20 10:25:00-04:00,2025-03-20 10:35:00-04:00,1,-31.0,stop
2025-03-20 10:40:00-04:00,2025-03-20 10:55:00-04:00,1,-31.0,stop
2025-03-20 11:00:00-04:00,2025-03-20 11:20:00-04:00,1,-31.0,stop
2025-03-20 11:25:00-04:00,2025-03-20 11:30:00-04:00,1,-31.0,stop
2025-03-20 11:35:00-04:00,2025-03-20 11:40:00-04:00,1,25.25,signal
2025-03-21 14:00:00-04:00,2025-03-21 14:05:00-04:00,1,-31.0,stop
2025-03-21 14:10:00-04:00,2025-03-21 14:25:00-04:00,1,-31.0,stop
2025-03-21 14:40:00-04:00,2025-03-21 14:45:00-04:00,1,-31.0,stop
2025-03-21 14:50:00-04:00,2025-03-21 14:55:00-04:00,1,-2.5625,signal
2025-03-21 15:55:00-04:00,2025-03-21 15:55:00-04:00,1,5.25,session_eod
2025-03-24 09:30:00-04:00,2025-03-24 12:45:00-04:00,1,129.625,signal
2025-03-24 14:55:00-04:00,2025-03-24 15:55:00-04:00,1,14.625,session_eod
