entry_time,exit_time,qty,entry_price,exit_price,pnl,reason
2025-03-03 10:50:00-05:00,2025-03-03 10:55:00-05:00,1,5959.375,5953.375,-31.0,stop
2025-03-03 11:00:00-05:00,2025-03-03 11:30:00-05:00,1,5951.6875,5945.6875,-31.0,stop
2025-03-05 10:15:00-05:00,2025-03-05 10:35:00-05:00,-1,5796.125,5802.125,-31.0,stop
2025-03-05 10:40:00-05:00,2025-03-05 11:30:00-05:00,-1,5795.0625,5762.25,163.0625,signal
2025-03-07 10:10:00-05:00,2025-03-07 11:30:00-05:00,-1,5756.125,5693.625,311.5,signal
2025-03-11 10:00:00-04:00,2025-03-11 10:05:00-04:00,-1,5602.5625,5608.5625,-31.0,stop
2025-03-11 10:10:00-04:00,2025-03-11 11:30:00-04:00,-1,5602.375,5591.9375,51.1875,signal
2025-03-13 10:05:00-04:00,2025-03-13 10:10:00-04:00,-1,5573.5,5579.5,-31.0,stop
2025-03-13 10:15:00-04:00,2025-03-13 10:25:00-04:00,-1,5591.6875,5597.6875,-31.0,stop
2025-03-13 10:30:00-04:00,2025-03-13 11:30:00-04:00,-1,5586.9375,5556.75,149.9375,signal
2025-03-14 10:00:00-04:00,2025-03-14 10:10:00-04:00,1,5585.9375,5579.9375,-31.0,stop
2025-03-14 10:15:00-04:00,2025-03-14 10:20:00-04:00,1,5578.8125,5572.8125,-31.0,stop
2025-03-14 10:25:00-04:00,2025-03-14 11:30:00-04:00,1,5582.9375,5624.4375,206.5,signal
2025-03-17 10:05:00-04:00,2025-03-17 10:30:00-04:00,1,5660.125,5654.125,-31.0,stop
2025-03-17 10:35:00-04:00,2025-03-17 10:55:00-04:00,1,5658.5625,5652.5625,-31.0,stop
2025-03-17 11:00:00-04:00,2025-03-17 11:30:00-04:00,1,5650.4375,5644.4375,-31.0,stop
2025-03-18 10:40:00-04:00,2025-03-18 11:30:00-04:00,-1,5623.875,5609.6875,69.9375,signal
2025-03-19 10:40:00-04:00,2025-03-19 10:45:00-04:00,1,5701.9375,5695.9375,-31.0,stop
2025-03-19 10:50:00-04:00,2025-03-19 11:30:00-04:00,1,5698.0625,5706.25,39.9375,signal
2025-03-21 10:00:00-04:00,2025-03-21 10:20:00-04:00,-1,5667.375,5673.375,-31.0,stop
2025-03-21 10:25:00-04:00,2025-03-21 10:55:00-04:00,-1,5672.625,5678.625,-31.0,stop
2025-03-21 11:00:00-04:00,2025-03-21 11:30:00-04:00,-1,5686.875,5673.0625,68.0625,signal
2025-03-25 10:05:00-04:00,2025-03-25 11:30:00-04:00,1,5818.6875,5828.6875,49.0,signal
2025-04-01 10:35:00-04:00,2025-04-01 11:30:00-04:00,1,5629.375,5672.375,214.0,signal
2025-04-02 10:00:00-04:00,2025-04-02 10:05:00-04:00,1,5659.5625,5653.5625,-31.0,stop
2025-04-02 10:10:00-04:00,2025-04-02 11:30:00-04:00,1,5654.4375,5698.75,220.5625,signal
2025-04-04 10:00:00-04:00,2025-04-04 11:30:00-04:00,-1,5279.3125,5220.1875,294.625,signal
2025-04-07 10:25:00-04:00,2025-04-07 10:30:00-04:00,1,5052.75,5046.75,-31.0,stop
2025-04-07 10:35:00-04:00,2025-04-07 10:40:00-04:00,1,5017.875,5011.875,-31.0,stop
2025-04-07 10:45:00-04:00,2025-04-07 11:10:00-04:00,1,5051.8125,5045.8125,-31.0,stop
2025-04-07 11:15:00-04:00,2025-04-07 11:20:00-04:00,1,5015.75,5009.75,-31.0,stop
2025-04-07 11:25:00-04:00,2025-04-07 11:30:00-04:00,1,4992.875,5004.6875,58.0625,signal
2025-04-09 10:05:00-04:00,2025-04-09 10:30:00-04:00,-1,5049.6875,5055.6875,-31.0,stop
2025-04-09 10:35:00-04:00,2025-04-09 11:30:00-04:00,-1,5048.125,5030.125,89.0,signal
2025-04-10 10:30:00-04:00,2025-04-10 10:45:00-04:00,1,5349.125,5343.125,-31.0,stop
2025-04-10 10:50:00-04:00,2025-04-10 10:55:00-04:00,1,5336.1875,5330.1875,-31.0,stop
2025-04-10 11:00:00-04:00,2025-04-10 11:15:00-04:00,1,5318.4375,5312.4375,-31.0,stop
2025-04-10 11:20:00-04:00,2025-04-10 11:25:00-04:00,1,5304.25,5298.25,-31.0,stop
2025-04-11 10:00:00-04:00,2025-04-11 10:05:00-04:00,1,5306.1875,5300.1875,-31.0,stop
2025-04-11 10:10:00-04:00,2025-04-11 10:15:00-04:00,1,5316.0625,5310.0625,-31.0,stop
2025-04-11 10:20:00-04:00,2025-04-11 10:25:00-04:00,1,5275.1875,5269.1875,-31.0,stop
2025-04-11 10:30:00-04:00,2025-04-11 11:15:00-04:00,1,5273.5,5267.5,-31.0,stop
2025-04-11 11:20:00-04:00,2025-04-11 11:30:00-04:00,1,5268.5,5283.5,74.0,signal
2025-04-14 10:00:00-04:00,2025-04-14 10:10:00-04:00,1,5468.1875,5462.1875,-31.0,stop
2025-04-14 10:15:00-04:00,2025-04-14 10:20:00-04:00,1,5462.9375,5456.9375,-31.0,stop
2025-04-14 10:25:00-04:00,2025-04-14 11:05:00-04:00,1,5469.125,5463.125,-31.0,stop
