symbol,entry_time,exit_time,qty,entry_price,exit_price,pnl,reason
MES,2025-04-23 10:00:00-04:00,2025-04-23 10:05:00-04:00,1,5481.5,5475.25,-32.25,stop
MES,2025-04-23 10:10:00-04:00,2025-04-23 10:15:00-04:00,1,5478.75,5472.5,-32.25,stop
MES,2025-04-23 10:20:00-04:00,2025-04-23 10:55:00-04:00,1,5476.0,5469.75,-32.25,stop
MES,2025-04-23 11:00:00-04:00,2025-04-23 11:05:00-04:00,1,5476.0,5469.75,-32.25,stop
MES,2025-04-23 11:10:00-04:00,2025-04-23 11:15:00-04:00,1,5470.0,5463.75,-32.25,stop
MES,2025-04-23 13:05:00-04:00,2025-04-23 13:25:00-04:00,1,5436.0,5429.75,-32.25,stop
MES,2025-04-23 13:30:00-04:00,2025-04-23 13:35:00-04:00,1,5421.5,5415.25,-32.25,stop
MES,2025-04-23 13:40:00-04:00,2025-04-23 13:45:00-04:00,1,5421.25,5415.0,-32.25,stop
MES,2025-04-23 13:50:00-04:00,2025-04-23 14:00:00-04:00,1,5429.0,5422.75,-32.25,stop
MES,2025-04-24 10:00:00-04:00,2025-04-24 15:25:00-04:00,1,5442.25,5494.25,259.0,signal
MES,2025-04-24 15:45:00-04:00,2025-04-24 15:50:00-04:00,1,5517.0,5510.75,-32.25,stop
MES,2025-04-24 15:55:00-04:00,2025-04-24 15:55:00-04:00,1,5510.75,5510.25,-3.5,session_eod
MES,2025-04-25 09:30:00-04:00,2025-04-25 09:40:00-04:00,1,5512.75,5506.5,-32.25,stop
MES,2025-04-25 09:45:00-04:00,2025-04-25 09:50:00-04:00,1,5499.5,5493.25,-32.25,stop
MES,2025-04-25 09:55:00-04:00,2025-04-25 10:20:00-04:00,1,5492.5,5486.25,-32.25,stop
MES,2025-04-25 11:05:00-04:00,2025-04-25 11:35:00-04:00,1,5511.0,5504.75,-32.25,stop
MES,2025-04-25 11:40:00-04:00,2025-04-25 14:05:00-04:00,1,5502.5,5535.0,161.5,signal
