entry_time,exit_time,qty,pnl,reason
2025-02-27 12:30:00-05:00,2025-02-27 13:00:00-05:00,-1,-51.0,stop
2025-02-27 13:15:00-05:00,2025-02-27 15:45:00-05:00,-1,474.9375,session_eod
2025-02-28 09:30:00-05:00,2025-02-28 10:00:00-05:00,-1,-51.0,stop
2025-02-28 10:15:00-05:00,2025-02-28 10:30:00-05:00,-1,-51.0,stop
2025-02-28 10:45:00-05:00,2025-02-28 15:00:00-05:00,-1,-51.0,stop
2025-03-03 13:15:00-05:00,2025-03-03 13:45:00-05:00,-1,-51.0,stop
2025-03-03 14:00:00-05:00,2025-03-03 14:30:00-05:00,-1,-51.0,stop
2025-03-03 14:45:00-05:00,2025-03-03 15:45:00-05:00,-1,204.0,session_eod
2025-03-04 09:30:00-05:00,2025-03-04 13:00:00-05:00,-1,-51.0,stop
2025-03-04 13:15:00-05:00,2025-03-04 13:45:00-05:00,-1,-51.0,stop
2025-03-05 10:30:00-05:00,2025-03-05 10:45:00-05:00,-1,-51.0,stop
2025-03-05 11:00:00-05:00,2025-03-05 11:45:00-05:00,-1,-51.0,stop
2025-03-05 12:00:00-05:00,2025-03-05 12:15:00-05:00,-1,-51.0,stop
2025-03-05 12:30:00-05:00,2025-03-05 12:45:00-05:00,-1,-51.0,stop
2025-03-05 13:00:00-05:00,2025-03-05 13:45:00-05:00,-1,-51.0,stop
2025-03-06 10:30:00-05:00,2025-03-06 10:45:00-05:00,-1,-51.0,stop
2025-03-06 11:00:00-05:00,2025-03-06 15:45:00-05:00,-1,317.4375,session_eod
2025-03-07 09:30:00-05:00,2025-03-07 09:45:00-05:00,-1,-51.0,stop
2025-03-07 10:00:00-05:00,2025-03-07 10:15:00-05:00,-1,46.1875,signal
2025-03-07 10:30:00-05:00,2025-03-07 10:45:00-05:00,-1,-51.0,stop
2025-03-07 11:00:00-05:00,2025-03-07 12:45:00-05:00,-1,-51.0,stop
2025-03-07 13:00:00-05:00,2025-03-07 13:15:00-05:00,-1,-51.0,stop
2025-03-07 13:30:00-05:00,2025-03-07 13:45:00-05:00,-1,-51.0,stop
2025-03-10 10:15:00-04:00,2025-03-10 15:45:00-04:00,-1,259.625,session_eod
2025-03-11 09:30:00-04:00,2025-03-11 09:45:00-04:00,-1,-51.0,stop
2025-03-11 10:00:00-04:00,2025-03-11 11:30:00-04:00,-1,-51.0,stop
2025-03-11 11:45:00-04:00,2025-03-11 14:15:00-04:00,-1,-51.0,stop
2025-03-13 09:45:00-04:00,2025-03-13 10:00:00-04:00,-1,-51.0,stop
2025-03-13 10:15:00-04:00,2025-03-13 15:45:00-04:00,-1,307.125,session_eod
2025-03-27 09:30:00-04:00,2025-03-27 09:45:00-04:00,-1,-51.0,stop
2025-03-27 10:00:00-04:00,2025-03-27 10:15:00-04:00,-1,-51.0,stop
2025-03-27 10:30:00-04:00,2025-03-27 10:45:00-04:00,-1,-26.9375,signal
2025-03-27 13:15:00-04:00,2025-03-27 14:00:00-04:00,-1,-51.0,stop
2025-03-27 14:15:00-04:00,2025-03-27 14:30:00-04:00,-1,-6.0,signal
2025-03-27 14:45:00-04:00,2025-03-27 15:00:00-04:00,-1,-9.4375,signal
2025-03-27 15:45:00-04:00,2025-03-27 15:45:00-04:00,-1,42.125,session_eod
2025-03-28 09:30:00-04:00,2025-03-28 15:45:00-04:00,-1,480.25,session_eod
2025-03-31 09:30:00-04:00,2025-03-31 09:45:00-04:00,-1,-51.0,stop
2025-03-31 10:00:00-04:00,2025-03-31 10:30:00-04:00,-1,-51.0,stop
2025-03-31 10:45:00-04:00,2025-03-31 11:00:00-04:00,-1,-51.0,stop
2025-03-31 11:15:00-04:00,2025-03-31 11:30:00-04:00,-1,-51.0,stop
2025-03-31 11:45:00-04:00,2025-03-31 12:15:00-04:00,-1,-51.0,stop
2025-04-01 14:45:00-04:00,2025-04-01 15:00:00-04:00,-1,-51.0,stop
2025-04-01 15:15:00-04:00,2025-04-01 15:30:00-04:00,-1,-51.0,stop
2025-04-04 09:30:00-04:00,2025-04-04 09:45:00-04:00,-1,-51.0,stop
2025-04-04 10:00:00-04:00,2025-04-04 11:00:00-04:00,-1,-51.0,stop
2025-04-04 11:15:00-04:00,2025-04-04 15:45:00-04:00,-1,674.0,session_eod
2025-04-07 09:30:00-04:00,2025-04-07 09:45:00-04:00,-1,-51.0,risk_lock
2025-04-08 13:15:00-04:00,2025-04-08 13:30:00-04:00,-1,-51.0,stop
2025-04-08 13:45:00-04:00,2025-04-08 14:30:00-04:00,-1,-51.0,stop
2025-04-08 14:45:00-04:00,2025-04-08 15:45:00-04:00,-1,273.375,session_eod
2025-04-09 09:30:00-04:00,2025-04-09 09:45:00-04:00,-1,-51.0,stop
2025-04-09 10:00:00-04:00,2025-04-09 10:15:00-04:00,-1,-51.0,stop
2025-04-09 10:30:00-04:00,2025-04-09 12:00:00-04:00,-1,-51.0,stop
2025-04-09 12:15:00-04:00,2025-04-09 12:30:00-04:00,-1,-51.0,stop
2025-04-17 09:30:00-04:00,2025-04-17 09:45:00-04:00,-1,-51.0,stop
2025-04-17 10:00:00-04:00,2025-04-17 11:00:00-04:00,-1,65.25,signal
2025-04-21 09:30:00-04:00,2025-04-21 15:45:00-04:00,-1,361.5,signal
2025-04-22 15:15:00-04:00,2025-04-22 15:30:00-04:00,-1,-51.0,stop
2025-04-22 15:45:00-04:00,2025-04-22 15:45:00-04:00,-1,-17.25,session_eod
2025-04-29 09:30:00-04:00,2025-04-29 15:45:00-04:00,1,226.5,session_eod
2025-04-30 13:30:00-04:00,2025-04-30 14:30:00-04:00,1,-51.0,stop
2025-04-30 14:45:00-04:00,2025-04-30 15:45:00-04:00,1,222.75,session_eod
2025-05-01 09:30:00-04:00,2025-05-01 09:45:00-04:00,1,-51.0,stop
2025-05-01 10:00:00-04:00,2025-05-01 14:15:00-04:00,1,97.75,signal
2025-05-01 15:30:00-04:00,2025-05-01 15:45:00-04:00,1,-51.0,stop
2025-05-02 09:30:00-04:00,2025-05-02 09:45:00-04:00,1,-51.0,stop
2025-05-02 10:00:00-04:00,2025-05-02 15:45:00-04:00,1,109.9375,session_eod
2025-05-05 13:30:00-04:00,2025-05-05 15:30:00-04:00,1,-51.0,stop
2025-05-09 15:00:00-04:00,2025-05-09 15:30:00-04:00,1,-51.0,stop
2025-05-12 09:30:00-04:00,2025-05-12 09:45:00-04:00,1,-51.0,stop
2025-05-12 10:00:00-04:00,2025-05-12 10:15:00-04:00,1,-51.0,stop
2025-05-12 10:30:00-04:00,2025-05-12 15:45:00-04:00,1,215.875,session_eod
2025-05-13 09:30:00-04:00,2025-05-13 15:45:00-04:00,1,146.8125,session_eod
2025-05-14 09:30:00-04:00,2025-05-14 09:45:00-04:00,1,-51.0,stop
2025-05-15 11:30:00-04:00,2025-05-15 15:45:00-04:00,1,74.9375,session_eod
2025-05-16 09:30:00-04:00,2025-05-16 10:30:00-04:00,1,-51.0,stop
2025-05-16 10:45:00-04:00,2025-05-16 15:45:00-04:00,1,212.4375,session_eod
2025-05-19 09:30:00-04:00,2025-05-19 10:30:00-04:00,1,149.9375,signal
2025-05-19 12:45:00-04:00,2025-05-19 15:15:00-04:00,1,-51.0,stop
2025-05-19 15:30:00-04:00,2025-05-19 15:45:00-04:00,1,59.9375,session_eod
2025-05-20 09:30:00-04:00,2025-05-20 09:45:00-04:00,1,-51.0,stop
2025-05-21 12:30:00-04:00,2025-05-21 13:00:00-04:00,1,-51.0,stop
2025-05-28 09:30:00-04:00,2025-05-28 09:45:00-04:00,1,-51.0,stop
2025-05-28 10:00:00-04:00,2025-05-28 10:30:00-04:00,1,-51.0,stop
2025-05-29 11:15:00-04:00,2025-05-29 11:30:00-04:00,1,-51.0,stop
2025-05-30 15:15:00-04:00,2025-05-30 15:45:00-04:00,1,-51.0,stop
2025-06-03 09:30:00-04:00,2025-06-03 15:45:00-04:00,1,171.5,session_eod
2025-06-04 09:30:00-04:00,2025-06-04 10:00:00-04:00,1,-51.0,stop
2025-06-04 10:15:00-04:00,2025-06-04 12:00:00-04:00,1,-51.0,stop
2025-06-04 12:15:00-04:00,2025-06-04 15:45:00-04:00,1,-8.1875,session_eod
2025-06-05 11:45:00-04:00,2025-06-05 12:15:00-04:00,1,-51.0,stop
2025-06-05 12:30:00-04:00,2025-06-05 12:45:00-04:00,1,-51.0,stop
2025-06-05 13:00:00-04:00,2025-06-05 14:00:00-04:00,1,-5.6875,signal
2025-06-06 10:30:00-04:00,2025-06-06 11:15:00-04:00,1,-51.0,stop
2025-06-06 11:30:00-04:00,2025-06-06 12:45:00-04:00,1,-51.0,stop
2025-06-06 13:00:00-04:00,2025-06-06 14:15:00-04:00,1,107.4375,signal
2025-06-06 15:00:00-04:00,2025-06-06 15:45:00-04:00,1,-36.3125,session_eod
2025-06-09 09:30:00-04:00,2025-06-09 15:45:00-04:00,1,4.0,session_eod
2025-06-10 09:30:00-04:00,2025-06-10 11:30:00-04:00,1,-51.0,stop
2025-06-10 11:45:00-04:00,2025-06-10 15:45:00-04:00,1,101.1875,session_eod
2025-06-11 09:30:00-04:00,2025-06-11 09:45:00-04:00,1,-51.0,stop
2025-06-11 10:00:00-04:00,2025-06-11 12:00:00-04:00,1,-51.0,stop
2025-06-11 12:15:00-04:00,2025-06-11 13:45:00-04:00,1,10.5625,signal
2025-06-12 11:30:00-04:00,2025-06-12 15:45:00-04:00,1,66.8125,session_eod
2025-06-24 09:30:00-04:00,2025-06-24 09:45:00-04:00,1,-51.0,stop
