symbol,entry_time,exit_time,qty,entry_price,exit_price,pnl,reason
MES,2025-03-06 10:20:00-05:00,2025-03-06 10:35:00-05:00,-1,5799.5,5815.25,-79.75,stop
MES,2025-03-06 11:45:00-05:00,2025-03-06 15:05:00-05:00,-1,5782.25,5743.25,194.0,signal
MES,2025-03-07 10:30:00-05:00,2025-03-07 10:45:00-05:00,-1,5717.25,5735.75,-93.5,stop
MES,2025-03-07 10:50:00-05:00,2025-03-07 12:40:00-05:00,-1,5726.0,5729.25,-17.25,signal
MES,2025-03-10 10:00:00-04:00,2025-03-10 15:45:00-04:00,-1,5674.75,5619.25,276.5,signal
MES,2025-03-11 10:15:00-04:00,2025-03-11 11:35:00-04:00,-1,5596.0,5599.75,-19.75,signal
MES,2025-03-11 12:25:00-04:00,2025-03-11 14:05:00-04:00,-1,5573.0,5581.25,-42.25,stop
MES,2025-03-12 11:00:00-04:00,2025-03-12 11:15:00-04:00,-1,5562.0,5570.25,-42.25,stop
MES,2025-03-12 11:20:00-04:00,2025-03-12 11:30:00-04:00,-1,5577.0,5585.75,-44.75,stop
MES,2025-03-13 10:00:00-04:00,2025-03-13 10:05:00-04:00,-1,5569.0,5577.25,-42.25,stop
MES,2025-03-13 10:10:00-04:00,2025-03-13 10:20:00-04:00,-1,5589.0,5596.75,-39.75,stop
MES,2025-03-13 10:25:00-04:00,2025-03-13 14:25:00-04:00,-1,5583.75,5543.5,200.25,signal
MES,2025-03-13 15:35:00-04:00,2025-03-13 15:40:00-04:00,-1,5516.0,5523.75,-39.75,stop
MES,2025-03-13 15:45:00-04:00,2025-03-14 09:30:00-04:00,-1,5524.25,5577.5,-267.25,stop
MES,2025-03-14 13:05:00-04:00,2025-03-14 13:15:00-04:00,1,5635.25,5628.0,-37.25,stop
MES,2025-03-14 13:20:00-04:00,2025-03-14 13:40:00-04:00,1,5628.0,5618.25,-49.75,stop
MES,2025-03-14 13:45:00-04:00,2025-03-14 13:55:00-04:00,1,5618.5,5616.5,-11.0,signal
