symbol,entry_time,exit_time,qty,entry_price,exit_price,pnl,reason
MES,2025-05-01 09:30:00-04:00,2025-05-01 11:50:00-04:00,1,5634.0,5654.75,102.75,signal
MES,2025-05-01 13:25:00-04:00,2025-05-01 13:40:00-04:00,1,5654.75,5642.25,-63.5,stop
MES,2025-05-01 14:00:00-04:00,2025-05-01 15:35:00-04:00,1,5652.25,5654.75,11.5,signal
MES,2025-05-02 09:35:00-04:00,2025-05-02 09:45:00-04:00,1,5689.0,5675.0,-71.0,stop
MES,2025-05-02 09:50:00-04:00,2025-05-02 13:25:00-04:00,1,5674.5,5708.25,167.75,signal
MES,2025-05-02 14:15:00-04:00,2025-05-02 14:45:00-04:00,1,5718.25,5708.0,-52.25,stop
MES,2025-05-02 14:50:00-04:00,2025-05-02 15:00:00-04:00,1,5714.0,5705.25,-44.75,stop
MES,2025-05-02 15:05:00-04:00,2025-05-02 15:10:00-04:00,1,5710.0,5706.75,-17.25,signal
MES,2025-05-05 09:30:00-04:00,2025-05-05 10:15:00-04:00,-1,5668.0,5678.0,-51.0,stop
MES,2025-05-05 10:20:00-04:00,2025-05-05 10:35:00-04:00,-1,5671.5,5681.0,-48.5,stop
MES,2025-05-05 10:40:00-04:00,2025-05-05 10:55:00-04:00,-1,5683.25,5689.0,-29.75,signal
MES,2025-05-05 14:10:00-04:00,2025-05-05 14:15:00-04:00,1,5702.25,5699.5,-14.75,signal
MES,2025-05-05 14:30:00-04:00,2025-05-05 14:50:00-04:00,1,5703.75,5700.5,-17.25,signal
MES,2025-05-05 15:15:00-04:00,2025-05-06 10:50:00-04:00,-1,5691.25,5643.5,237.75,signal
MES,2025-05-06 12:40:00-04:00,2025-05-06 14:35:00-04:00,-1,5639.25,5642.0,-14.75,signal
MES,2025-05-06 15:55:00-04:00,2025-05-07 09:30:00-04:00,-1,5625.25,5638.25,-66.0,stop
MES,2025-05-07 09:35:00-04:00,2025-05-07 09:40:00-04:00,-1,5636.75,5646.75,-51.0,stop
MES,2025-05-07 09:45:00-04:00,2025-05-07 09:50:00-04:00,-1,5636.0,5642.75,-34.75,stop
MES,2025-05-07 10:10:00-04:00,2025-05-07 10:45:00-04:00,1,5652.0,5645.75,-32.25,stop
MES,2025-05-07 11:05:00-04:00,2025-05-07 11:40:00-04:00,-1,5629.75,5636.5,-34.75,stop
MES,2025-05-07 11:45:00-04:00,2025-05-07 11:50:00-04:00,-1,5624.75,5633.0,-42.25,stop
